market_id,year,record_count
360,2004,3
360,2006,19
360,2007,22
360,2008,16
360,2009,13
360,2010,24
360,2011,19
360,2012,7
360,2015,24
360,2016,23
360,2017,44
360,2023,203
360,2024,320
360,2025,223
361,2004,3
361,2006,18
361,2007,22
361,2008,16
361,2009,24
361,2010,24
361,2011,24
361,2012,14
361,2015,21
361,2016,25
361,2017,46
361,2023,216
361,2024,281
361,2025,235
362,2004,3
362,2006,19
362,2007,22
362,2008,16
362,2009,22
362,2010,24
362,2011,24
362,2012,14
362,2015,21
362,2016,25
362,2017,39
362,2018,1
362,2023,188
362,2024,330
362,2025,181
363,2004,4
363,2006,19
363,2007,22
363,2008,16
363,2011,24
363,2012,14
363,2015,24
363,2016,25
363,2017,40
363,2023,185
363,2024,334
363,2025,191
364,2004,3
364,2006,14
364,2007,19
364,2008,12
364,2009,9
364,2010,11
364,2011,19
364,2012,10
364,2015,17
364,2016,20
364,2017,37
364,2018,1
364,2023,189
364,2024,325
364,2025,133
365,2004,4
365,2006,14
365,2007,21
365,2008,12
365,2010,3
365,2011,18
365,2012,12
365,2015,19
365,2016,18
365,2017,37
366,2004,4
366,2006,19
366,2007,22
366,2008,16
366,2009,24
366,2010,24
366,2011,24
366,2012,14
366,2015,24
366,2016,25
366,2017,44
366,2018,1
366,2023,201
366,2024,342
366,2025,243
367,2004,4
367,2006,19
367,2007,22
367,2008,14
367,2009,24
367,2010,24
367,2011,24
367,2012,14
367,2015,22
367,2016,25
367,2017,41
367,2018,1
367,2023,201
367,2024,342
367,2025,257
368,2004,22
368,2005,22
368,2006,29
368,2007,34
368,2008,30
368,2009,35
368,2010,34
368,2011,33
368,2012,29
368,2013,26
368,2014,31
368,2015,47
368,2016,57
368,2017,68
368,2018,34
368,2019,22
368,2020,23
368,2021,44
368,2022,66
368,2023,218
368,2024,355
368,2025,265
1565,2009,12
1565,2010,12
1565,2011,12
1565,2012,30
1565,2013,51
1565,2014,27
1565,2015,36
1565,2016,14
1888,2015,23
1888,2016,25
1888,2017,44
1888,2018,1
1888,2023,216
1888,2024,297
1888,2025,262
1889,2015,24
1889,2016,25
1889,2017,44
1889,2018,1
1889,2023,206
1889,2024,355
1889,2025,264
1906,2015,24
1906,2016,25
1906,2017,46
1906,2023,213
1906,2024,369
1906,2025,283
1907,2015,24
1907,2016,25
1907,2017,45
1907,2018,1
1907,2023,203
1907,2024,338
1907,2025,249
1908,2015,24
1908,2016,25
1908,2017,40
1908,2023,181
1908,2024,323
1908,2025,195
1909,2015,22
1909,2016,25
1909,2017,45
1909,2018,1
1909,2023,209
1909,2024,244
1909,2025,260
1910,2015,17
1910,2016,19
1910,2017,37
1910,2023,217
1910,2024,376
1910,2025,278
1911,2015,24
1911,2016,25
1911,2017,42
1911,2018,1
1911,2023,208
1911,2024,343
1911,2025,269
1912,2015,24
1912,2016,25
1912,2017,44
1912,2018,1
1912,2023,223
1912,2024,377
1912,2025,286
1913,2016,25
1913,2017,43
1913,2018,1
1913,2023,204
1913,2024,356
1913,2025,262
1914,2015,18
1914,2016,23
1914,2017,41
1914,2018,1
1914,2023,209
1914,2024,291
1914,2025,246
1915,2015,24
1915,2016,25
1915,2017,43
1915,2018,1
1915,2023,208
1915,2024,355
1915,2025,272
1916,2015,24
1916,2016,25
1916,2017,38
1916,2023,193
1916,2024,332
1916,2025,252
1917,2015,24
1917,2016,25
1917,2017,44
1917,2018,1
1917,2023,217
1917,2024,350
1917,2025,269
1918,2015,24
1918,2016,25
1918,2017,44
1918,2023,199
1918,2024,361
1918,2025,252
1919,2015,24
1919,2016,24
1919,2017,42
1919,2018,1
1919,2023,148
1919,2024,361
1919,2025,269
2786,2020,448
2786,2021,40
2787,2020,36
2787,2021,7
2788,2020,264
2788,2021,28
2789,2020,111
2789,2022,48
2789,2023,40
2790,2020,120
5287,2023,209
5287,2024,352
5287,2025,268
5346,2023,215
5346,2024,305
5346,2025,219
5885,2022,113
5885,2023,91
7833,2023,216
7833,2024,374
7833,2025,278
7834,2023,185
7834,2024,258
7834,2025,219
7835,2023,201
7835,2024,233
7835,2025,231
7836,2023,195
7836,2024,286
7836,2025,264
7837,2023,210
7837,2024,353
7837,2025,268
7839,2023,211
7839,2024,350
7839,2025,258
7840,2023,212
7840,2024,354
7840,2025,199
7841,2023,210
7841,2024,365
7841,2025,272
7842,2023,205
7842,2024,329
7842,2025,200
7843,2023,106
7843,2024,216
7843,2025,255
